,0
100004,0.25318895108745526
100022,0.03835918142608057
100048,0.0998439937597504
100049,0.08249977057905845
100053,0.02762228136184271
100054,0.7167110213820318
100063,0.20482701661007616
100068,0.101954666421951
100069,0.006056712856749564
100082,0.0011012205194090117
100087,0.14866477012021656
100107,0.4080022024410388
100123,0.9140130311094796
10013,0.11663760668073782
100135,0.2736532990731394
10014,0.37065247315774985
100145,0.16206295310635954
100168,0.42956777094613197
100169,0.3967146921170964
100171,0.1705974121317794
100183,0.013673488115995228
100186,0.9003395429934844
100190,0.1758282095989722
100217,0.22446544920620354
100240,0.5530880058731761
100241,0.4604937138662017
100270,0.4114894007525007
100283,0.007341470129393411
100290,0.04983022850325778
100304,0.22079471414150684
100318,0.6085161053500964
100323,0.07249701752775993
100336,0.23281637147838855
100345,0.7073506469670552
100355,0.5175736441222355
100365,0.1685785078461962
100375,0.8911627053317427
100376,0.2594292006974397
10038,0.5859410847022116
100390,0.3807469945856658
100391,0.12260255116086996
100394,0.7212994402129026
100402,0.054418647334128656
100434,0.039368633568872165
100446,0.0645131687620446
100453,0.5083050380838763
100458,0.25282187758098557
100471,0.5150958979535653
100485,0.361016793612921
100491,0.07001927135908965
1005,0.4101128751032394
100509,0.06350371661925301
100516,0.4988528952922823
100520,0.4001101220519409
100534,0.11571992291456364
100549,0.6744057997614022
100559,0.2925575846563274
100563,0.42369459484261723
10057,0.6296228319721024
100582,0.2955859410847022
100583,0.23703771680278976
100598,0.1613288060934202
10060,0.7803065063779022
100602,0.6025511608699642
10061,0.15490501973020096
100610,0.24281912452968707
100611,0.48160044048820777
100613,0.004404882077636047
100623,0.4836193447737909
100625,0.24061668349086904
100643,0.09222721850050472
10065,0.8693218316967973
100652,0.09030008259153896
100653,0.03551436175094062
100658,0.29017160686427457
100659,0.49453978159126366
100674,0.02220794714141507
10068,0.773882720014683
100698,0.2033587225841975
100699,0.6617417637881986
10070,0.3382582362118014
100705,0.588877672753969
100713,0.6794530604753601
10073,0.37542442874185555
100762,0.28209598972194183
100780,0.7643388088464715
100827,0.28907038634486554
100830,0.23960723134807746
100831,0.06790859869688905
100843,0.06992750298247224
10085,0.4370010094521428
100853,0.041112232724603105
10086,0.71854638891438
100877,0.2582362118014132
10088,0.7525006882628247
